domain,researcher,unique_id,block_order,mean_rt,perc_acc,D_tt1,D_tt2,D_tt3,D_tt4,D_odd,D_even,gender,age
Friend-enemy,Chad,chad friendenemy_354,1,1380,0.99,0.12,0.02,-0.42,-0.23,-0.04,-0.02,Female,18
Friend-enemy,Chad,chad friendenemy_359,1,1874,0.92,0.21,-0.05,-0.1,0.39,0.16,-0.09,Female,19
Friend-enemy,Chad,chad friendenemy_361,1,1580,0.92,0.01,0.26,-0.28,0.26,-0.18,0.26,Male,18
Friend-enemy,Chad,chad friendenemy_366,1,1460,0.92,0.63,-0.06,-0.34,-0.21,0.07,0.01,Male,21
Friend-enemy,Chad,chad friendenemy_368,1,1891,0.81,0.4,0.7,-0.07,-0.43,0.29,0.06,Male,18
Friend-enemy,Chad,chad friendenemy_373,1,1467,0.97,-0.04,-0.06,0.05,-0.15,-0.32,0.17,Male,30
Friend-enemy,Chad,chad friendenemy_403,1,1629,0.88,0.88,0.42,-0.46,0.33,0.42,0.17,Female,18
Friend-enemy,Chad,chad friendenemy_405,1,1362,0.96,0.14,0.07,-0.64,-0.23,-0.16,-0.21,Female,18
Friend-enemy,Chad,chad friendenemy_410,1,1345,0.88,1.23,1,0.44,0.28,0.68,0.67,Female,18
Friend-enemy,Chad,chad friendenemy_412,1,1688,0.92,1.13,-0.11,-0.32,-0.46,0.1,0.12,Female,18
Friend-enemy,Chad,chad friendenemy_503,1,1795,0.9,0.82,0.04,0.54,0.14,0.21,0.51,Male,19
Friend-enemy,Chad,chad friendenemy_505,1,1736,0.9,0.46,0.2,0.19,0.33,0.47,0.13,Female,19
Friend-enemy,Chad,chad friendenemy_510,1,1499,0.95,0.77,0.91,-0.63,0.83,0.57,0.4,Female,19
Friend-enemy,Chad,chad friendenemy_512,1,1435,0.91,0.61,-0.02,0.18,0.11,0.35,-0.01,Female,18
Friend-enemy,Chad,chad friendenemy_517,1,1485,0.87,0.81,-0.63,-0.62,0.32,0,-0.1,Female,19
Friend-enemy,Chad,chad friendenemy_519,1,1273,0.91,0.78,0.41,-0.33,-0.42,0.05,0.19,Female,19
Friend-enemy,Chad,chad friendenemy_603,1,1860,0.94,0.07,0.5,0.3,-0.04,0.27,0.08,Female,19
Friend-enemy,Chad,chad friendenemy_605,1,1251,0.92,0.14,0.12,0.06,0.4,0.08,0.33,Male,18
Friend-enemy,Chad,chad friendenemy_610,1,1382,0.93,0.24,0.08,0.23,0.57,0.33,0.19,Male,19
Friend-enemy,Chad,chad friendenemy_612,1,1495,0.91,-0.6,0.46,-0.09,-0.06,-0.3,0.21,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_102,1,1500,0.92,0.31,0.55,0.26,0.46,0.45,0.31,Male,18
Lincoln-Hitler,Chad,chad lincolnhitler_104,1,1514,0.97,0.69,-0.45,0.58,0.89,0.47,0.31,Female,21
Lincoln-Hitler,Chad,chad lincolnhitler_108,1,1363,0.92,0.81,0.89,-0.36,-0.25,-0.06,0.7,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_109,1,2031,0.84,0.7,0.73,0.29,0.32,0.8,0.12,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_111,1,2284,0.94,-0.28,0.6,0.07,-0.06,0.2,0.2,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_115,1,1283,0.94,0.85,1.01,0.45,-0.07,0.79,0.28,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_116,1,1562,0.97,0.5,0.26,-0.3,-0.22,0.2,-0.14,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_118,1,1630,0.95,0.18,0.27,-0.26,0.46,0.26,0.11,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_122,1,1467,0.97,0.77,-0.22,-0.6,0.39,0.01,0.19,Female,20
Lincoln-Hitler,Chad,chad lincolnhitler_123,1,1339,0.94,0.72,0.31,-0.12,0.14,0.31,0.23,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_125,1,1475,0.91,0.54,0.78,0.75,0.13,0.79,0.51,Male,19
Lincoln-Hitler,Chad,chad lincolnhitler_129,1,1717,0.99,1.03,0.24,-0.2,0.74,0.18,0.4,Male,20
Lincoln-Hitler,Chad,chad lincolnhitler_130,1,2565,0.92,0.15,0.06,-0.42,0.45,0,-0.01,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_132,1,1955,0.8,0.68,0.48,0.02,0.23,0.15,0.4,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_136,1,1920,0.96,0.03,0.09,-0.43,0.04,-0.11,-0.11,Male,21
Lincoln-Hitler,Chad,chad lincolnhitler_137,1,1841,0.95,0.45,-0.13,0.27,-0.41,0.06,0.07,Female,18
Lincoln-Hitler,Chad,chad lincolnhitler_139,1,1685,0.92,0.52,0.07,-0.11,0.35,0.28,0.05,Female,19
Lincoln-Hitler,Chad,chad lincolnhitler_143,1,1193,0.96,-0.32,0.45,-0.15,-0.21,-0.33,0.07,Female,19
