unique_id,domain,timepoint,age,gender,block_order,rt_outlier,D_overall,D_tt1,D_tt2,D_tt3,D_tt4
chad bodyimage_101,Body image,baseline,22,Female,con,FALSE,-0.18735587989023006,0.07336325805175992,-0.3085499635994042,-0.1916931019133131,-0.26597574813607316
chad bodyimage_109,Body image,baseline,18,Female,con,FALSE,0.08555134696027061,0.24273318667136773,0.13979415859545918,-0.6162487151033192,0.31290015917398106
chad bodyimage_114,Body image,baseline,16,Female,con,FALSE,-0.018906097697071734,-0.35500878082772713,-0.004844518656829385,-0.46112813446452405,0.76624688509864
chad bodyimage_117,Body image,baseline,18,Female,con,FALSE,0.48905236166245686,0.3571411053636836,0.37490536154004006,0.5105638780311728,0.7284555374315609
chad bodyimage_121,Body image,baseline,20,Female,incon,FALSE,0.4411326438103302,0.5966077003288188,0.16128617678965337,0.3493164990684192,0.65635993672611
chad bodyimage_124,Body image,baseline,19,Female,incon,FALSE,0.18563144342724908,0.07267509758568046,-0.07807750085649334,-0.01159749456773591,0.6890938466808163
chad bodyimage_125,Body image,baseline,17,Female,con,FALSE,0.2406712009565276,0.004136913521896215,0.5348558825191218,0.3604190746065189,0.2141955071947235
chad bodyimage_126,Body image,baseline,20,Female,con,FALSE,0.16583480100089143,-0.3669626476892158,0.62856510178376,0.24545788432799184,0.5919027193155402
chad bodyimage_13,Body image,baseline,19,Female,incon,FALSE,0.15903198427716775,0.410275110931102,0.5352209575675189,-0.09623578617046404,-0.5003902561868334
chad bodyimage_17,Body image,baseline,19,Female,con,FALSE,0.060740496029392556,0.20268996755899374,0.085735374305882725,-0.1573772914667424,0.19694352303135074
chad bodyimage_18,Body image,baseline,18,Female,con,FALSE,0.5118799567089007,1.1632992135120621,0.9272863860642389,-0.05349211249744269,0.32127110049561725
chad bodyimage_23,Body image,baseline,18,Female,incon,FALSE,0.27595416237208953,0.31800423614853446,0.3153463974079082,0.33576467178569,0.22708412337357733
chad bodyimage_28,Body image,baseline,18,Female,con,FALSE,-0.12102369429034913,0.17748278393242084,0.36724937999580265,-0.4639549080377505,-0.5086108297498636
chad bodyimage_31,Body image,baseline,20,Female,incon,FALSE,-0.10264493024204976,0.3173484431462631,0.15940593131440758,-0.5109809911177339,-0.322925962352679
chad bodyimage_33,Body image,baseline,22,Female,con,FALSE,0.06903362192531369,0.8343351502897103,-0.2834141808252954,-0.2769437854615128,0.5030018029222337
chad bodyimage_36,Body image,baseline,20,Female,con,FALSE,0.16230655906731814,-0.4059528416295206,0.3816338917248065,0.47087359572896126,0.2546119344526161
chad bodyimage_37,Body image,baseline,19,Female,incon,FALSE,0.5480420681226129,0.6834593511910174,0.135568137622571,0.04865689456518022,1.0115615859100062
chad bodyimage_38,Body image,baseline,19,Female,incon,FALSE,0.16531896452716777,0.608988220432726,-0.28935518854434006,-0.12177916461834948,0.5289933912886013
chad bodyimage_41,Body image,baseline,18,Female,con,FALSE,0.05596726844059854,0.002645541877095111,0.3682938672704294,-0.1082709902007346,0.05393032165272927
chad bodyimage_43,Body image,baseline,18,Female,con,FALSE,0.13765624209305793,-0.170871886571176,0.7931181684277473,-0.12431082922850553,0.028189085647462944
